t,setpoint,omega,u
0.3650,200.0000,200.5919,6.3890
0.3660,200.0000,200.5904,6.3893
0.3670,200.0000,200.5895,6.3896
0.3680,200.0000,200.5888,6.3893
0.3690,200.0000,200.5873,6.3889
0.3700,200.0000,200.5858,6.3892
0.3710,200.0000,200.5850,6.3895
0.3720,200.0000,200.5842,6.3892
0.3730,200.0000,200.5828,6.3888
0.3740,200.0000,200.5812,6.3890
0.3750,200.0000,200.5804,6.3894
0.3760,200.0000,200.5797,6.3890
0.3770,200.0000,200.5782,6.3886
0.3780,200.0000,200.5767,6.3889
0.3790,200.0000,200.5759,6.3893
0.3800,200.0000,200.5752,6.3889
0.3810,200.0000,200.5738,6.3885
0.3820,200.0000,200.5723,6.3888
0.3830,200.0000,200.5715,6.3892
0.3840,200.0000,200.5707,6.3888
0.3850,200.0000,200.5694,6.3884
0.3860,200.0000,200.5678,6.3886
0.3870,200.0000,200.5670,6.3890
0.3880,200.0000,200.5663,6.3887
0.3890,200.0000,200.5649,6.3883
0.3900,200.0000,200.5635,6.3885
0.3910,200.0000,200.5628,6.3888
0.3920,200.0000,200.5620,6.3884
0.3930,200.0000,200.5605,6.3881
0.3940,200.0000,200.5592,6.3884
0.3950,200.0000,200.5584,6.3886
0.3960,200.0000,200.5577,6.3883
0.3970,200.0000,200.5562,6.3879
0.3980,200.0000,200.5549,6.3883
0.3990,200.0000,200.5542,6.3885
0.4000,200.0000,200.5534,6.3881
0.4010,200.0000,200.5519,6.3878
0.4020,200.0000,200.5506,6.3882
0.4030,200.0000,200.5499,6.3883
0.4040,200.0000,200.5491,6.3880
0.4050,200.0000,200.5476,6.3877
0.4060,200.0000,200.5464,6.3881
0.4070,200.0000,200.5457,6.3882
0.4080,200.0000,200.5449,6.3878
0.4090,200.0000,200.5433,6.3875
0.4100,200.0000,200.5422,6.3880
0.4110,200.0000,200.5415,6.3880
0.4120,200.0000,200.5405,6.3877
0.4130,200.0000,200.5390,6.3875
0.4140,200.0000,200.5381,6.3880
0.4150,200.0000,200.5373,6.3878
0.4160,200.0000,200.5362,6.3875
0.4170,200.0000,200.5347,6.3876
0.4180,200.0000,200.5339,6.3880
0.4190,200.0000,200.5331,6.3877
0.4200,200.0000,200.5322,6.3874
0.4210,200.0000,200.5307,6.3873
0.4220,200.0000,200.5298,6.3877
0.4230,200.0000,200.5290,6.3876
0.4240,200.0000,200.5280,6.3873
0.4250,200.0000,200.5265,6.3872
0.4260,200.0000,200.5257,6.3877
0.4270,200.0000,200.5249,6.3875
0.4280,200.0000,200.5242,6.3872
0.4290,200.0000,200.5226,6.3869
0.4300,200.0000,200.5216,6.3874
0.4310,200.0000,200.5208,6.3874
0.4320,200.0000,200.5201,6.3871
0.4330,200.0000,200.5186,6.3868
0.4340,200.0000,200.5176,6.3872
0.4350,200.0000,200.5168,6.3872
0.4360,200.0000,200.5161,6.3870
0.4370,200.0000,200.5146,6.3867
0.4380,200.0000,200.5136,6.3871
0.4390,200.0000,200.5128,6.3871
0.4400,200.0000,200.5121,6.3868
0.4410,200.0000,200.5106,6.3866
0.4420,200.0000,200.5096,6.3870
0.4430,200.0000,200.5089,6.3870
0.4440,200.0000,200.5081,6.3867
0.4450,200.0000,200.5067,6.3865
0.4460,200.0000,200.5057,6.3869
0.4470,200.0000,200.5049,6.3869
0.4480,200.0000,200.5042,6.3866
0.4490,200.0000,200.5027,6.3864
0.4500,200.0000,200.5018,6.3868
0.4510,200.0000,200.5010,6.3867
0.4520,200.0000,200.5003,6.3865
0.4530,200.0000,200.4988,6.3862
0.4540,200.0000,200.4979,6.3867
0.4550,200.0000,200.4971,6.3866
0.4560,200.0000,200.4964,6.3864
0.4570,200.0000,200.4950,6.3861
0.4580,200.0000,200.4941,6.3865
0.4590,200.0000,200.4933,6.3864
0.4600,200.0000,200.4926,6.3862
0.4610,200.0000,200.4911,6.3860
